 # H2O IR 
 # For interval boundaries, see corresponding files  
 #Temperature(K)  100,  150,  200,  250,  300,  350,  400,  600, 
 #P(bar) 1.00e-05, 1.00e-04, 1.00e-03, 1.00e-02, 1.00e-01, 1.00e+00, 1.00e+01, 1.00e+02, 

  Quadrature weights w(quad)        Quadrature abscissas (g)
   1.65231051440290516e-01           6.59602519928250280e-02
   3.09768948559709378e-01           3.13509004297193250e-01
   3.09768948559709378e-01           6.36490995702806650e-01
   1.65231051440290516e-01           8.84039748007174886e-01
   8.69637112843634277e-03           9.53471592210148655e-01
   1.63036288715636482e-02           9.66500473910378632e-01
   1.63036288715636482e-02           9.83499526089621323e-01
   8.69637112843634277e-03           9.96528407789851300e-01
!--------------------------------------------------------------------------------------------------------------------------

          1
  0.01000   6.49209e-22 2.16155e-21 1.15780e-20 1.04174e-19 6.39241e-19 1.15320e-18 3.76591e-18 2.77321e-17 
  0.10000   6.17383e-21 1.98449e-20 9.85242e-20 5.94149e-19 2.17092e-18 3.18850e-18 5.39619e-18 1.01156e-17 
  1.00000   5.29195e-20 1.27572e-19 3.35031e-19 9.00201e-19 1.16752e-18 1.26511e-18 1.36442e-18 1.52024e-18 
 10.00000   8.94784e-20 1.32293e-19 1.60659e-19 2.19729e-19 2.29621e-19 2.30658e-19 2.31312e-19 2.31691e-19 
100.00000   7.87995e-22 1.06476e-21 1.32142e-21 1.80336e-21 1.81732e-21 1.82012e-21 1.82391e-21 1.82753e-21 

          2
          150.0
  0.00001   4.10742e-25 1.96686e-24 1.14670e-23 1.84314e-22 2.22411e-21 5.57039e-21 4.05904e-20 6.64461e-18 
  0.00010   4.00505e-24 1.78331e-23 1.00555e-22 1.20533e-21 9.15288e-21 1.95550e-20 1.08119e-19 7.47600e-18 
  0.00100   3.91837e-23 1.70835e-22 9.29528e-22 8.69921e-21 5.78429e-20 1.14845e-19 5.52924e-19 1.13497e-17 
  0.01000   3.85635e-22 1.64151e-21 8.20946e-21 6.99221e-20 4.35340e-19 7.99745e-19 2.71000e-18 1.84881e-17 
  0.10000   3.62476e-21 1.44732e-20 6.85838e-20 4.03611e-19 1.44334e-18 2.04982e-18 3.57017e-18 7.34919e-18 
  1.00000   3.10460e-20 9.24971e-20 2.43558e-19 6.47367e-19 8.53177e-19 9.14979e-19 9.77080e-19 1.14129e-18 
 10.00000   6.81131e-20 1.16262e-19 1.56346e-19 2.26905e-19 2.50237e-19 2.56119e-19 2.62338e-19 2.64620e-19 
100.00000   1.25445e-21 1.86451e-21 2.65307e-21 3.98045e-21 4.02731e-21 4.05907e-21 4.09618e-21 4.12378e-21 

          2
          200.0
  0.00001   2.90279e-25 1.62304e-24 9.07032e-24 1.88579e-22 2.63903e-21 6.74533e-21 5.71241e-20 8.30682e-18 
  0.00010   2.76704e-24 1.43837e-23 7.55193e-23 1.03769e-21 7.92801e-21 1.75280e-20 1.10608e-19 8.56086e-18 
  0.00100   2.68558e-23 1.33419e-22 6.75689e-22 6.58719e-21 4.26416e-20 8.66481e-20 4.46931e-19 9.97044e-18 
  0.01000   2.61912e-22 1.27234e-21 5.95012e-21 4.99002e-20 3.07394e-19 5.84215e-19 2.06070e-18 1.30391e-17 
  0.10000   2.40140e-21 1.11298e-20 4.82757e-20 3.00644e-19 1.00725e-18 1.39113e-18 2.46963e-18 5.35505e-18 
  1.00000   1.99240e-20 7.00847e-20 1.82720e-19 4.43401e-19 6.44634e-19 6.81462e-19 7.44390e-19 9.50709e-19 
 10.00000   5.05805e-20 9.21831e-20 1.36571e-19 2.01707e-19 2.35487e-19 2.45960e-19 2.58121e-19 2.63623e-19 
100.00000   1.58222e-21 2.48861e-21 3.89698e-21 6.10980e-21 6.24056e-21 6.31704e-21 6.40797e-21 6.47214e-21 

          2
          250.0
  0.00001   2.23817e-25 1.35543e-24 7.53301e-24 2.02289e-22 3.24154e-21 8.27831e-21 7.72115e-20 8.15557e-18 
  0.00010   2.09161e-24 1.18836e-23 5.86702e-23 9.33474e-22 7.47882e-21 1.66070e-20 1.19805e-19 8.27230e-18 
  0.00100   2.00297e-23 1.08086e-22 5.06980e-22 5.29396e-21 3.32690e-20 6.93434e-20 3.83172e-19 8.77014e-18 
  0.01000   1.93966e-22 1.01956e-21 4.42717e-21 3.76246e-20 2.29495e-19 4.45060e-19 1.62417e-18 9.85898e-18 
  0.10000   1.73862e-21 8.84380e-21 3.57097e-20 2.34181e-19 7.54422e-19 1.03650e-18 1.80756e-18 3.93075e-18 
  1.00000   1.35874e-20 5.57375e-20 1.40523e-19 3.04026e-19 4.98434e-19 5.22614e-19 6.00273e-19 8.29572e-19 
 10.00000   3.90512e-20 7.32979e-20 1.16327e-19 1.71240e-19 2.08417e-19 2.21296e-19 2.37130e-19 2.45469e-19 
100.00000   1.83203e-21 2.99137e-21 4.86836e-21 7.77395e-21 8.02291e-21 8.13404e-21 8.26931e-21 8.36436e-21 

          2
          300.0
  0.00001   1.77467e-25 1.11227e-24 6.71139e-24 2.27431e-22 4.16114e-21 1.04539e-20 9.56964e-20 7.38722e-18 
  0.00010   1.65246e-24 9.78457e-24 4.78003e-23 8.66261e-22 7.72953e-21 1.73560e-20 1.32264e-19 7.44255e-18 
  0.00100   1.55511e-23 8.94300e-23 3.98495e-22 4.45584e-21 2.77717e-20 5.81817e-20 3.45671e-19 7.58472e-18 
  0.01000   1.49342e-22 8.41703e-22 3.35796e-21 2.95244e-20 1.79013e-19 3.51506e-19 1.32586e-18 7.78219e-18 
  0.10000   1.33530e-21 7.01630e-21 2.75013e-20 1.86621e-19 6.02635e-19 8.17929e-19 1.40261e-18 3.01241e-18 
  1.00000   9.89407e-21 4.45149e-20 1.08937e-19 2.24617e-19 3.86960e-19 4.13261e-19 5.08899e-19 7.13131e-19 
 10.00000   3.07387e-20 5.96726e-20 9.86857e-20 1.45397e-19 1.80968e-19 1.94571e-19 2.12057e-19 2.21882e-19 
100.00000   2.01676e-21 3.38411e-21 5.59425e-21 8.99183e-21 9.36177e-21 9.49902e-21 9.66635e-21 9.78715e-21 

          2
          350.0
  0.00001   1.40098e-25 9.45804e-25 6.38981e-24 2.64186e-22 5.30346e-21 1.35216e-20 1.19483e-19 6.55476e-18 
  0.00010   1.29993e-24 8.13737e-24 4.13550e-23 8.37155e-22 8.31754e-21 2.01227e-20 1.52005e-19 6.56661e-18 
  0.00100   1.24379e-23 7.30680e-23 3.25210e-22 3.84671e-21 2.47119e-20 5.16273e-20 3.18624e-19 6.56714e-18 
  0.01000   1.17897e-22 6.81206e-22 2.70850e-21 2.38882e-20 1.42386e-19 2.86859e-19 1.08814e-18 6.39184e-18 
  0.10000   1.04771e-21 5.67177e-21 2.10756e-20 1.48652e-19 4.95540e-19 6.64334e-19 1.16526e-18 2.50954e-18 
  1.00000   7.54089e-21 3.59046e-20 8.72055e-20 1.89735e-19 3.05753e-19 3.32351e-19 4.36047e-19 6.11602e-19 
 10.00000   2.47904e-20 4.97032e-20 8.45717e-20 1.24426e-19 1.56462e-19 1.69777e-19 1.87655e-19 1.98077e-19 
100.00000   2.14438e-21 3.67994e-21 6.12794e-21 9.84416e-21 1.03186e-20 1.04746e-20 1.06695e-20 1.08091e-20 

          2
          400.0
  0.00001   1.22262e-25 8.72298e-25 6.47820e-24 3.19422e-22 6.34035e-21 1.71581e-20 1.35983e-19 5.75707e-18 
  0.00010   1.05890e-24 6.86321e-24 3.79688e-23 8.07667e-22 9.25455e-21 2.31896e-20 1.64914e-19 5.76258e-18 
  0.00100   9.82615e-24 6.08000e-23 2.77246e-22 3.41808e-21 2.37609e-20 5.02647e-20 3.06491e-19 5.79845e-18 
  0.01000   9.38939e-23 5.57720e-22 2.25096e-21 2.01538e-20 1.17953e-19 2.38903e-19 9.13812e-19 5.27796e-18 
  0.10000   8.51696e-22 4.74516e-21 1.66814e-20 1.24010e-19 4.19172e-19 5.67646e-19 9.89287e-19 2.07127e-18 
  1.00000   5.90846e-21 2.93954e-20 7.37042e-20 1.61035e-19 2.49887e-19 2.73283e-19 3.74561e-19 5.26458e-19 
 10.00000   2.04889e-20 4.20439e-20 7.37890e-20 1.07666e-19 1.35723e-19 1.48226e-19 1.65643e-19 1.76212e-19 
100.00000   2.21282e-21 3.87378e-21 6.48584e-21 1.03562e-20 1.09146e-20 1.10826e-20 1.12950e-20 1.14482e-20 

          2
          600.0
  0.00001   9.27590e-26 8.37904e-25 1.05418e-23 6.96584e-22 1.19473e-20 3.25364e-20 2.06378e-19 3.38697e-18 
  0.00010   6.72018e-25 4.88543e-24 3.64344e-23 9.82495e-22 1.40773e-20 3.70517e-20 2.16452e-19 3.38056e-18 
  0.00100   5.27159e-24 3.59490e-23 1.89351e-22 2.54007e-21 2.34534e-20 5.44245e-20 2.66210e-19 3.32178e-18 
  0.01000   4.48142e-23 3.04308e-22 1.27801e-21 1.23283e-20 7.43196e-20 1.36652e-19 5.33907e-19 2.99442e-18 
  0.10000   4.05482e-22 2.52863e-21 8.98552e-21 6.31430e-20 2.26343e-19 3.21841e-19 5.82383e-19 1.14368e-18 
  1.00000   2.75810e-21 1.44526e-20 4.00029e-20 9.32214e-20 1.41237e-19 1.55996e-19 2.13952e-19 3.03650e-19 
 10.00000   1.07043e-20 2.29804e-20 4.59434e-20 6.55526e-20 8.12415e-20 8.97904e-20 1.03758e-19 1.13231e-19 
100.00000   2.17651e-21 4.09116e-21 7.08415e-21 1.09019e-20 1.16248e-20 1.18073e-20 1.20452e-20 1.22200e-20 

          3
          100.0
  0.00001   5.15001e-25 1.49326e-24 6.77654e-24 1.01613e-22 9.59496e-22 2.22344e-21 1.43775e-20 2.03124e-18 
  0.00010   5.03413e-24 1.45587e-23 6.28820e-23 8.28941e-22 6.21515e-21 1.29542e-20 5.73195e-20 2.91154e-18 
  0.00100   4.92924e-23 1.43466e-22 6.00647e-22 7.34476e-21 4.53754e-20 9.06455e-20 3.62461e-19 6.89073e-18 
  0.01000   4.87683e-22 1.40684e-21 5.79224e-21 6.24522e-20 3.40651e-19 6.39046e-19 2.31239e-18 2.01898e-17 
  0.10000   4.70036e-21 1.32448e-20 4.99421e-20 4.09879e-19 1.40988e-18 2.08873e-18 4.01813e-18 9.03352e-18 
  1.00000   4.18680e-20 1.01131e-19 2.33490e-19 6.29214e-19 9.55847e-19 1.10382e-18 1.40744e-18 1.64478e-18 
 10.00000   1.00299e-19 1.26181e-19 1.50925e-19 1.92367e-19 2.04558e-19 2.05988e-19 2.12942e-19 2.17314e-19 
100.00000   1.17955e-21 1.38307e-21 1.54280e-21 1.68705e-21 1.74596e-21 1.75215e-21 1.75885e-21 1.76281e-21 

          3
          150.0
  0.00001   5.85664e-25 1.68480e-24 9.73436e-24 1.71291e-22 2.06700e-21 5.17474e-21 4.06181e-20 7.64411e-18 
  0.00010   5.75016e-24 1.60946e-23 8.36001e-23 1.14434e-21 9.88023e-21 2.08029e-20 9.85119e-20 8.39131e-18 
  0.00100   5.75902e-23 1.57546e-22 7.58318e-22 9.09087e-21 6.13795e-20 1.22224e-19 4.69487e-19 1.20618e-17 
  0.01000   5.63529e-22 1.53785e-21 7.14418e-21 7.55346e-20 4.24338e-19 8.11024e-19 2.67293e-18 2.24330e-17 
  0.10000   5.35482e-21 1.46329e-20 5.79874e-20 4.71403e-19 1.61161e-18 2.33592e-18 4.39414e-18 9.61980e-18 
