 # Model name = Modern Earth(no ozone), Ramses CLIMA
 # Diameter: 12742                # Diameter of the planet [km]
 # Gravity: 9.81                  # Gravity at the surface of the atmosphere [m/s2]
 # Star-distance: 1               # Planet-star distance [au]
 # Star-type: Sun                 # Host-star type
 # Star-temperature: 5780         # Host-star temperature [K]
 # Wavelength-min: 0.2376            # Minimum wavelength [um]
 # Wavelength-max: inf           # Maximum wavelength [um]
 # Radiance-unit: Wsrm2um         # Radiation output unit
 # Surface-temperature: 285.3     # Surface temperature [K]
 # Surface-albedo: 0.32           # Surface albedo
 # Surface-emissivity: 1.0        # Surface emissivity
 # Opacity:corr.-k, BPS H2O cont. # corrk + continuum, other ?
 # Line opacities = H2O, CO2
 # CIA opacities = CO2-CO2, N2-N2, N2-CO2
 # Rayleigh opacities = N2, CO2, H2O
 # Outgoing longwave radiation (W/m^2) = 238.7
 # Absorbed stellar radiation (W/m^2) = 238.5
 # Atmosphere-description: Modern Earth
 # Atmosphere-columns: P T MMW Alt N2 CO2 H2O OTR ASR
 # Atmosphere-layers: 201
 #   P(Pa)     T(K)    MMW(g/mol)  Alt(km)     N2          CO2          H2O          OTR           ASR
 9.77730E+03  175.870  28.00640    15.569  9.99600E-01  4.00000E-04  1.51370E-07  2.36400E+02  2.36130E+02
 9.33270E+03  175.480  28.00640    15.816  9.99600E-01  4.00000E-04  1.46880E-07  2.36460E+02  2.36180E+02
 8.90520E+03  175.140  28.00640    16.064  9.99600E-01  4.00000E-04  1.43750E-07  2.36510E+02  2.36240E+02
 8.49440E+03  174.740  28.00640    16.314  9.99600E-01  4.00000E-04  1.39100E-07  2.36570E+02  2.36300E+02
 8.09970E+03  174.380  28.00640    16.565  9.99600E-01  4.00000E-04  1.35670E-07  2.36630E+02  2.36360E+02
 7.72070E+03  173.950  28.00640    16.817  9.99600E-01  4.00000E-04  1.30470E-07  2.36700E+02  2.36420E+02
 7.35690E+03  173.560  28.00640    17.071  9.99600E-01  4.00000E-04  1.26530E-07  2.36760E+02  2.36490E+02
 7.00780E+03  173.090  28.00640    17.326  9.99600E-01  4.00000E-04  1.20730E-07  2.36830E+02  2.36550E+02
 6.67290E+03  172.670  28.00640    17.582  9.99600E-01  4.00000E-04  1.16320E-07  2.36890E+02  2.36620E+02
 6.35180E+03  172.160  28.00640    17.839  9.99600E-01  4.00000E-04  1.10100E-07  2.36960E+02  2.36680E+02
 6.04410E+03  171.720  28.00640    18.097  9.99600E-01  4.00000E-04  1.05420E-07  2.37020E+02  2.36740E+02
 5.74930E+03  171.180  28.00640    18.357  9.99600E-01  4.00000E-04  9.90810E-08  2.37080E+02  2.36810E+02
 5.46700E+03  170.710  28.00640    18.617  9.99600E-01  4.00000E-04  9.43790E-08  2.37140E+02  2.36870E+02
 5.19670E+03  170.150  28.00640    18.878  9.99600E-01  4.00000E-04  8.82070E-08  2.37200E+02  2.36920E+02
 4.93810E+03  169.660  28.00640    19.141  9.99600E-01  4.00000E-04  8.36820E-08  2.37260E+02  2.36980E+02
 4.69070E+03  169.080  28.00640    19.404  9.99600E-01  4.00000E-04  7.79140E-08  2.37310E+02  2.37030E+02
 4.45420E+03  168.580  28.00640    19.669  9.99600E-01  4.00000E-04  7.36970E-08  2.37360E+02  2.37080E+02
 4.22820E+03  168.010  28.00640    19.934  9.99600E-01  4.00000E-04  6.84980E-08  2.37410E+02  2.37130E+02
 4.01220E+03  167.500  28.00640    20.200  9.99600E-01  4.00000E-04  6.46650E-08  2.37460E+02  2.37180E+02
 3.80590E+03  166.930  28.00640    20.467  9.99600E-01  4.00000E-04  6.01310E-08  2.37500E+02  2.37220E+02
 3.60900E+03  166.420  28.00640    20.735  9.99600E-01  4.00000E-04  5.67300E-08  2.37540E+02  2.37260E+02
 3.42110E+03  165.870  28.00640    21.004  9.99600E-01  4.00000E-04  5.29050E-08  2.37580E+02  2.37290E+02
 3.24180E+03  165.370  28.00640    21.274  9.99600E-01  4.00000E-04  4.99700E-08  2.37610E+02  2.37330E+02
 3.07090E+03  164.850  28.00640    21.545  9.99600E-01  4.00000E-04  4.68500E-08  2.37640E+02  2.37360E+02
 2.90800E+03  164.370  28.00640    21.817  9.99600E-01  4.00000E-04  4.43980E-08  2.37670E+02  2.37390E+02
 2.75270E+03  163.880  28.00640    22.090  9.99600E-01  4.00000E-04  4.19280E-08  2.37700E+02  2.37420E+02
 2.60490E+03  163.410  28.00640    22.363  9.99600E-01  4.00000E-04  3.98510E-08  2.37730E+02  2.37450E+02
 2.46410E+03  162.780  28.00640    22.638  9.99600E-01  4.00000E-04  3.63910E-08  2.37750E+02  2.37470E+02
 2.33010E+03  162.450  28.00640    22.913  9.99600E-01  4.00000E-04  3.56870E-08  2.37770E+02  2.37490E+02
 2.20270E+03  162.200  28.00640    23.190  9.99600E-01  4.00000E-04  3.56440E-08  2.37790E+02  2.37510E+02
 2.08150E+03  161.970  28.00640    23.468  9.99600E-01  4.00000E-04  3.56340E-08  2.37810E+02  2.37530E+02
 1.96630E+03  161.760  28.00640    23.747  9.99600E-01  4.00000E-04  3.56340E-08  2.37830E+02  2.37550E+02
 1.85680E+03  161.610  28.00640    24.028  9.99600E-01  4.00000E-04  3.56340E-08  2.37850E+02  2.37570E+02
 1.75280E+03  161.540  28.00640    24.310  9.99600E-01  4.00000E-04  3.56340E-08  2.37870E+02  2.37590E+02
 1.65410E+03  161.560  28.00640    24.594  9.99600E-01  4.00000E-04  3.56340E-08  2.37890E+02  2.37610E+02
 1.56030E+03  161.690  28.00640    24.880  9.99600E-01  4.00000E-04  3.56340E-08  2.37900E+02  2.37620E+02
 1.47140E+03  161.930  28.00640    25.167  9.99600E-01  4.00000E-04  3.56340E-08  2.37920E+02  2.37640E+02
 1.38710E+03  162.300  28.00640    25.457  9.99600E-01  4.00000E-04  3.56340E-08  2.37940E+02  2.37660E+02
